Characteristic ,Total with Earnings,"$1 to $2,499 or loss","$2,500 to 4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$53,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999 ","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and over",Median Earnings (Value Dol.),Median Earnings (Standard Error Dol.),Mean Earnings (Value Dol.),Mean Earnings (Standard Error Dol.), Gini Ratio , Gini Ratio Standard Error
............Astronomers and Physicists,0,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
............Economists,8,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
............Psychologists and Sociologists,154,2,0,0,0,6,4,0,2,0,4,0,0,2,0,0,0,2,0,5,1,5,0,12,2,8,4,4,0,5,0,21,5,4,0,0,0,9,4,0,2,41,"76,085","2,713","79,376","5,751",0.298,0.0313
............All other scientists,295,0,0,0,0,10,0,8,8,4,0,6,7,3,1,6,5,14,14,4,9,14,5,8,4,16,0,5,6,5,6,7,2,13,0,18,0,5,0,0,0,84,"66,231","6,807","81,799","6,368",0.375,0.0223
............Science technicians,241,2,0,7,0,9,6,0,25,10,4,11,0,1,2,17,0,0,2,9,2,21,0,18,6,26,2,0,2,0,3,9,2,13,0,1,0,0,2,7,0,23,"51,676","3,824","55,800","5,742",0.383,0.0408
........Community and social services occupations,"1,414",19,26,34,17,30,28,47,16,41,23,38,24,99,36,99,28,86,6,80,38,105,6,63,6,114,3,37,35,47,26,11,2,31,8,15,2,16,0,4,2,66,"45,323","2,773","48,029","1,754",0.339,0.0181
........Legal occupations,820,8,5,19,1,19,2,7,5,11,8,14,8,49,3,16,3,32,8,22,6,40,6,34,18,26,4,42,1,21,4,17,10,28,0,16,0,17,0,13,0,277,"67,157","4,451","99,835","6,190",0.461,0.0205
"............Lawyers, Judges, and Magistrates",420,3,3,5,0,7,0,6,1,8,0,1,0,10,0,2,0,0,0,13,4,10,0,19,3,6,0,6,0,10,1,8,10,22,0,11,0,9,0,5,0,234,"110,990","13,757","143,725","10,370",0.428,0.0251
"............Paralegals, Legal assistants, and Legal support workers",399,5,2,14,1,12,2,0,4,3,8,13,8,39,3,14,3,32,8,9,2,29,6,16,15,19,3,35,1,11,2,9,0,6,0,5,0,8,0,8,0,42,"51,486","2,097","53,628","2,565",0.304,0.0219
........Education instruction and library occupations,"6,335",334,206,247,136,240,117,212,131,252,152,286,98,269,67,219,119,298,121,190,159,410,112,258,100,347,47,141,64,162,26,102,44,104,14,109,33,74,25,30,20,262,"40,693",596,"43,763","1,091",0.414,0.0134
